Zipcode,Population,Poverty Count,No Education,High School Education,GED Education,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctoral Degree,No Degree,Degree
08080,36675.0,1138.0,112.0,7019.0,713.0,2600.0,6508.0,1964.0,380.0,343.0,7844.0,11795.0
08081,48709.0,4438.0,186.0,8893.0,1334.0,2885.0,6498.0,2378.0,492.0,235.0,10413.0,12488.0
08083,9621.0,751.0,29.0,2233.0,197.0,497.0,1430.0,476.0,42.0,21.0,2459.0,2466.0
08084,7007.0,678.0,78.0,1671.0,184.0,447.0,944.0,296.0,14.0,0.0,1933.0,1701.0
08085,20116.0,990.0,86.0,2921.0,328.0,793.0,3646.0,1572.0,344.0,197.0,3335.0,6552.0
08086,7989.0,371.0,18.0,1887.0,178.0,719.0,1341.0,305.0,115.0,31.0,2083.0,2511.0
08087,24535.0,1985.0,141.0,5430.0,618.0,1524.0,2867.0,932.0,145.0,115.0,6189.0,5583.0
08088,24158.0,1346.0,112.0,5770.0,666.0,1428.0,3253.0,1571.0,132.0,241.0,6548.0,6625.0
08089,4458.0,422.0,55.0,1211.0,191.0,300.0,325.0,156.0,14.0,6.0,1457.0,801.0
08090,8445.0,508.0,11.0,2297.0,194.0,462.0,1015.0,293.0,43.0,76.0,2502.0,1889.0
12921,2555.0,181.0,27.0,574.0,83.0,152.0,203.0,158.0,0.0,34.0,684.0,547.0
12922,42.0,5.0,0.0,9.0,8.0,8.0,4.0,2.0,0.0,0.0,17.0,14.0
12923,595.0,105.0,10.0,156.0,25.0,37.0,29.0,18.0,4.0,6.0,191.0,94.0
12924,106.0,11.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
12926,2024.0,207.0,19.0,617.0,67.0,172.0,88.0,53.0,18.0,22.0,703.0,353.0
12927,214.0,30.0,0.0,57.0,12.0,27.0,42.0,25.0,0.0,2.0,69.0,96.0
12928,1859.0,240.0,25.0,509.0,91.0,179.0,82.0,53.0,5.0,0.0,625.0,319.0
12929,3999.0,99.0,54.0,886.0,890.0,140.0,86.0,46.0,0.0,0.0,1830.0,272.0
12930,774.0,109.0,5.0,192.0,38.0,68.0,40.0,28.0,0.0,0.0,235.0,136.0
12932,1327.0,156.0,1.0,244.0,39.0,130.0,147.0,72.0,21.0,13.0,284.0,383.0
12933,21.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,6.0
12934,1030.0,213.0,14.0,239.0,98.0,38.0,34.0,27.0,3.0,0.0,351.0,102.0
12935,1373.0,184.0,14.0,331.0,38.0,83.0,79.0,30.0,4.0,0.0,383.0,196.0
12936,568.0,68.0,5.0,92.0,4.0,39.0,91.0,78.0,6.0,9.0,101.0,223.0
12937,1688.0,274.0,9.0,359.0,88.0,114.0,107.0,58.0,7.0,8.0,456.0,294.0
12939,248.0,35.0,0.0,28.0,7.0,19.0,30.0,21.0,5.0,0.0,35.0,75.0
12941,1538.0,105.0,2.0,223.0,23.0,115.0,150.0,103.0,35.0,24.0,248.0,427.0
