County,Population,Poverty Count,No Degree,Degree,Lat,Lng
Kane County,523058.0,58996.0,84282.0,127724.0,41.95,-88.43
Kankakee County,113099.0,17058.0,26118.0,20174.0,41.15,-87.87
Kaufman County,106235.0,14317.0,23401.0,18595.0,32.6,-96.3
Kay County,44587.0,7593.0,10359.0,8951.0,36.85,-97.15
Kearny County,3795.0,479.0,661.0,551.0,37.98,-101.32
Keith County,7967.0,1023.0,2060.0,2001.0,41.2,-101.65
Kenai Peninsula Borough,57637.0,6175.0,12963.0,12682.0,60.42,-151.25
Kendall County,148431.0,8953.0,25051.0,40597.0,41.58,-88.43
Kennebec County,120946.0,17108.0,30988.0,30796.0,44.47,-69.77
Kenosha County,160266.0,23998.0,34692.0,36756.0,42.57,-88.05
Kent County,999702.0,129665.0,190934.0,269617.0,43.03,-85.55
Kenton County,159549.0,21102.0,31798.0,40157.0,38.95,-84.53
Kern County,873081.0,194706.0,157754.0,118716.0,35.3,-118.67
Kerr County,49745.0,7992.0,10167.0,11819.0,30.05,-99.3
Kershaw County,70004.0,10179.0,17037.0,15209.0,34.45,-80.57
Ketchikan Gateway Borough,13745.0,1464.0,3069.0,2914.0,55.5,-131.42
Kewaunee County,20895.0,1807.0,6375.0,4388.0,44.52,-87.63
Keweenaw County,1938.0,333.0,503.0,576.0,47.37,-88.2
Kimball County,3815.0,393.0,987.0,718.0,41.2,-103.72
King County,2091994.0,219863.0,253907.0,843061.0,47.47,-121.82
King William County,16275.0,2068.0,4453.0,3150.0,37.68,-77.08
Kings County,2755459.0,616104.0,529104.0,725309.0,40.65,-73.95
Kinney County,3578.0,654.0,728.0,469.0,29.33,-100.42
Kiowa County,13633.0,2405.0,3351.0,2508.0,38.43,-102.82
Kit Carson County,8343.0,1100.0,2316.0,1273.0,39.3,-102.57
Kitsap County,257488.0,26110.0,41050.0,73609.0,47.62,-122.67
Kittitas County,42807.0,8402.0,6476.0,10719.0,47.12,-120.68
Kittson County,4525.0,482.0,1206.0,943.0,48.77,-96.78
Klamath County,64200.0,11928.0,14230.0,13052.0,42.67,-121.75
Kleberg County,31876.0,7110.0,4314.0,5596.0,27.43,-97.72
Klickitat County,21145.0,3331.0,4429.0,4937.0,45.87,-120.77
Knox County,682555.0,108883.0,141381.0,177743.0,36.02,-83.93
Kodiak Island Borough,13918.0,1247.0,2510.0,2982.0,57.33,-153.33
Koochiching County,13407.0,2198.0,3661.0,2804.0,48.23,-93.78
Kootenai County,149536.0,18944.0,29165.0,35127.0,47.71,-116.63
Kosciusko County,75296.0,7711.0,19291.0,14504.0,41.24,-85.85
Kossuth County,14549.0,1382.0,3869.0,3446.0,43.2,-94.22
La Crosse County,116512.0,16575.0,19823.0,34226.0,43.75,-91.1
La Plata County,48486.0,4952.0,6318.0,18142.0,37.28,-107.82
La Salle County,7307.0,847.0,1867.0,685.0,28.35,-99.1
